,name,neighbourhood,latitude,longitude,room_type
210,Beautiful designer loft in Polanco.,Miguel Hidalgo,19.43202,-99.19624,Entire home/apt
211,¡ Hermosa habitación en la Ciudad de México !,Coyoacán,19.34368,-99.12719,Private room
212,Cozy apt perfect location WTC/Condesa.All Welcome!,Benito Juárez,19.39033,-99.17065,Entire home/apt
213,Comfortable stay at sunny flat,Benito Juárez,19.38352,-99.16603,Private room
214,Big Room private bathroom & balcony,Álvaro Obregón,19.36151,-99.19838,Private room
215,Beautiful flat in amazing location,Miguel Hidalgo,19.43009,-99.19555,Entire home/apt
216,WTC Panoramic Penthouse room w/own bath,Benito Juárez,19.3936,-99.17551,Private room
217,"Cozy rooms, own bathroom, garden A+",Cuajimalpa de Morelos,19.34909,-99.29056,Private room
218,"Hermosa recámara, cerca La Condesa",Benito Juárez,19.39145,-99.18701,Private room
219,Departamento con terraza junto al metro,Benito Juárez,19.39709,-99.13851,Entire home/apt
220,Chic Room in Luxury Polanco,Miguel Hidalgo,19.427429999999998,-99.19306999999999,Private room
221,mini room good price 4 longer stay,Miguel Hidalgo,19.44357,-99.18776,Private room
222,"Center Historic, Personalized Tours, Lap Pool 416",Cuauhtémoc,19.43404,-99.14652,Entire home/apt
223,Habitación disponible,Miguel Hidalgo,19.40427,-99.17928,Private room
224,OASIS 4 IN THE CEN. OF MEX CITY,Cuauhtémoc,19.44339,-99.14735999999999,Entire home/apt
225,Beautiful sunny loft in Del Valle,Benito Juárez,19.378320000000002,-99.17316,Entire home/apt
226,Modern Suite in Roma Mansion,Cuauhtémoc,19.41702,-99.16712,Entire home/apt
227,SUPER HABITACIÓN,Benito Juárez,19.38221,-99.17121,Private room
228,Great location & security single bedroom Apartment,Benito Juárez,19.36891,-99.1801,Private room
229,Private room in amzng flat (shared only with host),Miguel Hidalgo,19.40936,-99.18611,Private room
230,Fancy Furnished Apartment & Great Location,Cuauhtémoc,19.42225,-99.17296,Entire home/apt
231,For foreign business guest+spa+jacuzzi,Cuauhtémoc,19.42898,-99.16193,Entire home/apt
232,Quiet and beautiful room Xochimilco,Xochimilco,19.273989999999998,-99.12127,Private room
233,Centro Historico - The Balcony,Cuauhtémoc,19.43212,-99.13768,Entire home/apt
234,Cozy Vintage Style Flat in Lomas,Miguel Hidalgo,19.42118,-99.20376,Entire home/apt
235,Charming loft near Reforma Ave.,Miguel Hidalgo,19.42802,-99.17678000000001,Entire home/apt
236,"New Private Room, Col CONDESA Blue",Cuauhtémoc,19.4135,-99.17665,Private room
237,Amazing Town House in the heart of CDMX,Cuauhtémoc,19.42997,-99.17165,Entire home/apt
238,Acogedora habitación en penthouse con excelente vista,Benito Juárez,19.38125,-99.16991,Private room
239,Charm & Comfy Apt : 2 DBR / 1.5 BTHRM,Cuauhtémoc,19.41116,-99.17872,Entire home/apt
240,Great Long Term nearCoyoacan&Cntro Nat delas Artes,Coyoacán,19.35643,-99.12227,Private room
241,PASEO DE LA REFORMAPOOL+SPA+GYM,Cuauhtémoc,19.43423,-99.15526,Entire home/apt
242,Comfy double room w/full breakfast!!!,Cuauhtémoc,19.42376,-99.15455,Private room
243,Coyoacan downtown private room,Coyoacán,19.34648,-99.1594,Private room
244,Spaciocius loft in Coyoacan,Coyoacán,19.34378,-99.15994,Entire home/apt
245,Great sunny apartment in Del Valle,Benito Juárez,19.37845,-99.17226,Entire home/apt
246,New Suite in Vintage Home in Roma/Condesa,Cuauhtémoc,19.41733,-99.16708,Entire home/apt
247,Grandma's Suite in San Angel,Álvaro Obregón,19.34615,-99.19062,Private room
248,Students & executives; ideal mid & long-term stays,Miguel Hidalgo,19.40332,-99.1835,Entire home/apt
249,Big room w/balcony ideally located at home-gallery,Cuauhtémoc,19.42887,-99.15515,Private room
250,Up to -20% last-minute stays; -10% Summer Special,Miguel Hidalgo,19.403879999999997,-99.18302,Entire home/apt
251,POLANCO The greatest room in the best location.,Miguel Hidalgo,19.438679999999998,-99.21314,Private room
252,CENTRAL GUESTROOM!!! WALK EVERYWHERE!!!,Cuauhtémoc,19.41611,-99.16575,Private room
253,Beautiful Apartment!!,Cuauhtémoc,19.4254,-99.16201,Entire home/apt
254,Recline on the Terrace of this 1920s Art Nouveau Mansion,Cuauhtémoc,19.41623,-99.16735,Entire home/apt
255,Fabulous Apt heart of Polanco!,Miguel Hidalgo,19.429779999999997,-99.19341999999999,Entire home/apt
256,Luminoso estudio en Coyoacán,Coyoacán,19.34362,-99.16591,Entire home/apt
257,Roma Norte apt. sleeps 2 (-4),Cuauhtémoc,19.41607,-99.15651,Entire home/apt
258,Nice Apartment México City (Narvarte),Benito Juárez,19.40239,-99.15767,Entire home/apt
259,Two Floor apartment in Porfirian Town House,Cuauhtémoc,19.41975,-99.15769,Entire home/apt
260,Live and Enjoy Condesa! Great Location / Space,Cuauhtémoc,19.40656,-99.17015,Entire home/apt
261,"Cozy apartment in Condesa, Mexico",Cuauhtémoc,19.41105,-99.17436,Entire home/apt
262,Ema's Flat in Coyoacan Street 2BR with terrace,Benito Juárez,19.39501,-99.16660999999999,Entire home/apt
263,Geographer's Suite in San Angel,Álvaro Obregón,19.34915,-99.19397,Private room
264,Botanical Studio in San Angel,Álvaro Obregón,19.34906,-99.19336,Private room
265,Private room with bathroom for woman,Azcapotzalco,19.46817,-99.16691,Private room
266,2BR -Gym& Pool - PickUpService -TouristicPoints,Cuauhtémoc,19.435489999999998,-99.14605,Entire home/apt
267,Centric Spacious Home @ La Condesa,Cuauhtémoc,19.411089999999998,-99.16789,Private room
268,Bright and cozy apartment near Reforma.,Cuauhtémoc,19.43121,-99.16396999999999,Entire home/apt
269,COLONIAL HOUSE / FASHIONABLE AREA,Cuauhtémoc,19.41714,-99.16714,Private room
270,40's Apartment downtown Mexico City,Cuauhtémoc,19.41209,-99.16542,Entire home/apt
271,nice apartment in colonia del Valle,Benito Juárez,19.381439999999998,-99.17096,Entire home/apt
272,"MASTER ROOM , ROMA HOOD, 1920 HOUSE",Cuauhtémoc,19.41613,-99.16579,Private room
273,Room in Mexico City,Venustiano Carranza,19.41978,-99.09689,Private room
274,Room in Beautiful House w/ Garden,Coyoacán,19.34283,-99.15578000000001,Private room
275,DESIGNER PH 2 Bedrooms+ROOF GARDEN,Cuauhtémoc,19.430670000000003,-99.15634,Entire home/apt
276,Exclusive Suite W/Pool Well Located Reforma Ave.,Cuauhtémoc,19.42706,-99.16535,Entire home/apt
277,Cozy Loft at great location,Cuauhtémoc,19.42149,-99.16888,Entire home/apt
278,"DF-Roma Norte,¡Best place to stay!",Benito Juárez,19.389670000000002,-99.17806,Private room
279,2 BR House in the Colonia Roma,Cuauhtémoc,19.40915,-99.16230999999999,Entire home/apt
280,"Deluxe double room w/King size bed, breakfast incl",Cuauhtémoc,19.42391,-99.15619000000001,Private room
281,"bonito, roma norte, ubicadísimo",Cuauhtémoc,19.4221,-99.16886,Private room
282,"Great location, nice apartment",Cuauhtémoc,19.42225,-99.16714,Private room
283,Great 1920's Brownstone La Juárez,Cuauhtémoc,19.420720000000003,-99.15759,Entire home/apt
284,Mountain Oasis surrender by trees ,Tlalpan,19.24278,-99.17220999999999,Private room
285,Archeologue´s Studio in San Angel,Álvaro Obregón,19.348879999999998,-99.19277,Private room
286,"♥Precio Bajo, Zona Rosa Mex. D.F.♥",Cuauhtémoc,19.42791,-99.15923000000001,Private room
287,"Private room, with private bathroom. Near COLMEX",Tlalpan,19.283720000000002,-99.21666,Private room
288,"Depa  2 cuartos, Roma Condesa",Cuauhtémoc,19.409489999999998,-99.16501,Entire home/apt
289,CUTE&COZY APART CENT 2 min walk sub,Benito Juárez,19.372320000000002,-99.14494,Entire home/apt
290,Sunny Apartment Historic Coyoacan!,Coyoacán,19.34596,-99.15276999999999,Private room
291,Characterful Balcony Apartment in an 18th-Century Building,Cuauhtémoc,19.4324,-99.13968,Entire home/apt
