,Postcode,State,Municipality,City,Settlement
24,9870,Ciudad de México,Iztapalapa,Ciudad de México,San Andrés Tomatlán
25,9870,Ciudad de México,Iztapalapa,Ciudad de México,San Andrés Tomatlán
26,9870,Ciudad de México,Iztapalapa,Ciudad de México,Santa María Tomatlán
27,9880,Ciudad de México,Iztapalapa,Ciudad de México,El Vergel
28,9880,Ciudad de México,Iztapalapa,Ciudad de México,Granjas Estrella
29,9890,Ciudad de México,Iztapalapa,Ciudad de México,Lomas Estrella
30,9897,Ciudad de México,Iztapalapa,Ciudad de México,Carlos Jonguitud Barrios
31,9900,Ciudad de México,Iztapalapa,Ciudad de México,Guadalupe
32,9900,Ciudad de México,Iztapalapa,Ciudad de México,San Antonio
33,9900,Ciudad de México,Iztapalapa,Ciudad de México,San Lorenzo
34,9910,Ciudad de México,Iztapalapa,Ciudad de México,La Esperanza
35,9920,Ciudad de México,Iztapalapa,Ciudad de México,José López Portillo
36,9930,Ciudad de México,Iztapalapa,Ciudad de México,El Rosario
37,9940,Ciudad de México,Iztapalapa,Ciudad de México,Jardines de San Lorenzo Tezonco
38,9960,Ciudad de México,Iztapalapa,Ciudad de México,Celoalliotli
39,9960,Ciudad de México,Iztapalapa,Ciudad de México,USCOVI
40,9960,Ciudad de México,Iztapalapa,Ciudad de México,El Molino Tezonco
41,9960,Ciudad de México,Iztapalapa,Ciudad de México,Allapetlalli
42,9960,Ciudad de México,Iztapalapa,Ciudad de México,La Planta
43,9969,Ciudad de México,Iztapalapa,Ciudad de México,Cananea
44,9970,Ciudad de México,Iztapalapa,Ciudad de México,Valle de San Lorenzo
45,10000,Ciudad de México,La Magdalena Contreras,Ciudad de México,Lomas Quebradas
46,10010,Ciudad de México,La Magdalena Contreras,Ciudad de México,La Malinche
47,10010,Ciudad de México,La Magdalena Contreras,Ciudad de México,San Bartolo Ameyalco
48,10020,Ciudad de México,La Magdalena Contreras,Ciudad de México,Cuauhtémoc
49,10130,Ciudad de México,La Magdalena Contreras,Ciudad de México,El Maestro
50,10200,Ciudad de México,La Magdalena Contreras,Ciudad de México,San Jerónimo Lídice
51,10300,Ciudad de México,La Magdalena Contreras,Ciudad de México,San Bernabé Ocotepec
52,10320,Ciudad de México,La Magdalena Contreras,Ciudad de México,El Tanque
53,10330,Ciudad de México,La Magdalena Contreras,Ciudad de México,Las Cruces
54,10340,Ciudad de México,La Magdalena Contreras,Ciudad de México,Los Padres
55,10350,Ciudad de México,La Magdalena Contreras,Ciudad de México,Lomas de San Bernabé
56,10360,Ciudad de México,La Magdalena Contreras,Ciudad de México,Huayatla
57,7870,Ciudad de México,Gustavo A. Madero,Ciudad de México,Vallejo
58,7880,Ciudad de México,Gustavo A. Madero,Ciudad de México,Mártires de Río Blanco
59,7889,Ciudad de México,Gustavo A. Madero,Ciudad de México,Emiliano Zapata
60,7890,Ciudad de México,Gustavo A. Madero,Ciudad de México,Cuchilla La Joya
61,7890,Ciudad de México,Gustavo A. Madero,Ciudad de México,La Joya
62,7890,Ciudad de México,Gustavo A. Madero,Ciudad de México,Nueva Tenochtitlán
63,7899,Ciudad de México,Gustavo A. Madero,Ciudad de México,La Malinche
64,7900,Ciudad de México,Gustavo A. Madero,Ciudad de México,Cuchilla del Tesoro
65,7910,Ciudad de México,Gustavo A. Madero,Ciudad de México,San Juan de Aragón VII Sección
66,7918,Ciudad de México,Gustavo A. Madero,Ciudad de México,San Juan de Aragón VI Sección
67,7919,Ciudad de México,Gustavo A. Madero,Ciudad de México,Ex Ejido San Juan de Aragón Sector 32
68,7920,Ciudad de México,Gustavo A. Madero,Ciudad de México,El Olivo
69,7920,Ciudad de México,Gustavo A. Madero,Ciudad de México,San Juan de Aragón
70,7930,Ciudad de México,Gustavo A. Madero,Ciudad de México,Indeco
71,7939,Ciudad de México,Gustavo A. Madero,Ciudad de México,Héroes de Chapultepec
72,7940,Ciudad de México,Gustavo A. Madero,Ciudad de México,Ex Ejido San Juan de Aragón Sector 33
73,7950,Ciudad de México,Gustavo A. Madero,Ciudad de México,San Juan de Aragón
74,7960,Ciudad de México,Gustavo A. Madero,Ciudad de México,Héroes de Cerro Prieto
75,7960,Ciudad de México,Gustavo A. Madero,Ciudad de México,Ex Escuela de Tiro
76,7960,Ciudad de México,Gustavo A. Madero,Ciudad de México,Fernando Casas Alemán
77,7969,Ciudad de México,Gustavo A. Madero,Ciudad de México,San Juan de Aragón I Sección
78,7969,Ciudad de México,Gustavo A. Madero,Ciudad de México,San Juan de Aragón II Sección
79,7970,Ciudad de México,Gustavo A. Madero,Ciudad de México,San Juan de Aragón III Sección
80,7979,Ciudad de México,Gustavo A. Madero,Ciudad de México,San Juan de Aragón IV Sección
81,7979,Ciudad de México,Gustavo A. Madero,Ciudad de México,San Juan de Aragón V Sección
82,7980,Ciudad de México,Gustavo A. Madero,Ciudad de México,Narciso Bassols
83,7990,Ciudad de México,Gustavo A. Madero,Ciudad de México,C.T.M. Aragón
84,8000,Ciudad de México,Iztacalco,Ciudad de México,Gabriel Ramos Millán Sección Bramadero
85,8010,Ciudad de México,Iztacalco,Ciudad de México,Ex-Ejido de La Magdalena Mixiuhca
86,8020,Ciudad de México,Iztacalco,Ciudad de México,Ampliación Gabriel Ramos Millán
87,8030,Ciudad de México,Iztacalco,Ciudad de México,Gabriel Ramos Millán Sección Cuchilla
88,8040,Ciudad de México,Iztacalco,Ciudad de México,Carlos Zapata Vela
89,8100,Ciudad de México,Iztacalco,Ciudad de México,Agrícola Pantitlán
90,8200,Ciudad de México,Iztacalco,Ciudad de México,Viaducto Piedad
91,8210,Ciudad de México,Iztacalco,Ciudad de México,Nueva Santa Anita
92,8220,Ciudad de México,Iztacalco,Ciudad de México,San Pedro
93,8230,Ciudad de México,Iztacalco,Ciudad de México,San Francisco Xicaltongo
94,8240,Ciudad de México,Iztacalco,Ciudad de México,Santiago Norte
95,8300,Ciudad de México,Iztacalco,Ciudad de México,Santa Anita
96,8310,Ciudad de México,Iztacalco,Ciudad de México,La Cruz
97,8320,Ciudad de México,Iztacalco,Ciudad de México,Fraccionamiento Coyuya
98,8400,Ciudad de México,Iztacalco,Ciudad de México,Granjas México
99,8420,Ciudad de México,Iztacalco,Ciudad de México,Cuchilla Agrícola Oriental
100,8500,Ciudad de México,Iztacalco,Ciudad de México,Agrícola Oriental
101,8510,Ciudad de México,Iztacalco,Ciudad de México,El Rodeo
102,8600,Ciudad de México,Iztacalco,Ciudad de México,La Asunción
103,8610,Ciudad de México,Iztacalco,Ciudad de México,Zapotla
104,8620,Ciudad de México,Iztacalco,Ciudad de México,Los Reyes
105,8650,Ciudad de México,Iztacalco,Ciudad de México,San Miguel
106,8700,Ciudad de México,Iztacalco,Ciudad de México,Juventino Rosas
107,8710,Ciudad de México,Iztacalco,Ciudad de México,Tlazintla
108,8720,Ciudad de México,Iztacalco,Ciudad de México,Gabriel Ramos Millán Sección Tlacotal
109,8730,Ciudad de México,Iztacalco,Ciudad de México,Gabriel Ramos Millán
110,8760,Ciudad de México,Iztacalco,Ciudad de México,INPI Picos
111,13020,Ciudad de México,Tláhuac,Ciudad de México,San José
112,13030,Ciudad de México,Tláhuac,Ciudad de México,San Juan
113,13040,Ciudad de México,Tláhuac,Ciudad de México,San Mateo
114,13050,Ciudad de México,Tláhuac,Ciudad de México,La Habana
115,13060,Ciudad de México,Tláhuac,Ciudad de México,La Guadalupe
116,13060,Ciudad de México,Tláhuac,Ciudad de México,Santa Ana
117,13070,Ciudad de México,Tláhuac,Ciudad de México,La Magdalena
118,13070,Ciudad de México,Tláhuac,Ciudad de México,San Miguel
119,13080,Ciudad de México,Tláhuac,Ciudad de México,Los Reyes
120,13090,Ciudad de México,Tláhuac,Ciudad de México,Quiahuatla
121,13093,Ciudad de México,Tláhuac,Ciudad de México,San Sebastián
122,13094,Ciudad de México,Tláhuac,Ciudad de México,San Isidro
123,13099,Ciudad de México,Tláhuac,Ciudad de México,San Andrés
124,13100,Ciudad de México,Tláhuac,Ciudad de México,La Guadalupe
125,13110,Ciudad de México,Tláhuac,Ciudad de México,Cañada
126,13119,Ciudad de México,Tláhuac,Ciudad de México,La Poblanita
127,13120,Ciudad de México,Tláhuac,Ciudad de México,Ampliación Santa Catarina
128,13120,Ciudad de México,Tláhuac,Ciudad de México,Santiago
129,13123,Ciudad de México,Tláhuac,Ciudad de México,Teozoma
130,13123,Ciudad de México,Tláhuac,Ciudad de México,La Mesa
131,13123,Ciudad de México,Tláhuac,Ciudad de México,Chichilaula
132,13129,Ciudad de México,Tláhuac,Ciudad de México,San Francisco Apolocalco
133,13150,Ciudad de México,Tláhuac,Ciudad de México,La Concepción
134,13180,Ciudad de México,Tláhuac,Ciudad de México,San Miguel
135,13200,Ciudad de México,Tláhuac,Ciudad de México,Miguel Hidalgo
136,13210,Ciudad de México,Tláhuac,Ciudad de México,Los Olivos
137,13219,Ciudad de México,Tláhuac,Ciudad de México,Las Arboledas
138,13219,Ciudad de México,Tláhuac,Ciudad de México,Ampliación Los Olivos
139,13220,Ciudad de México,Tláhuac,Ciudad de México,La Nopalera
140,13230,Ciudad de México,Tláhuac,Ciudad de México,Granjas Cabrera
141,13250,Ciudad de México,Tláhuac,Ciudad de México,La Turba
142,13270,Ciudad de México,Tláhuac,Ciudad de México,Del Mar
143,13273,Ciudad de México,Tláhuac,Ciudad de México,La Draga
144,13278,Ciudad de México,Tláhuac,Ciudad de México,Villa Centroamericana
145,13280,Ciudad de México,Tláhuac,Ciudad de México,Agrícola Metropolitana
146,13300,Ciudad de México,Tláhuac,Ciudad de México,Santa Ana Centro
147,13300,Ciudad de México,Tláhuac,Ciudad de México,Santiago Centro
148,13300,Ciudad de México,Tláhuac,Ciudad de México,Santa Ana Poniente
149,13300,Ciudad de México,Tláhuac,Ciudad de México,Santa Ana Norte
150,13300,Ciudad de México,Tláhuac,Ciudad de México,Santiago Norte
151,13310,Ciudad de México,Tláhuac,Ciudad de México,Zapotitla
152,13315,Ciudad de México,Tláhuac,Ciudad de México,Ampliación Zapotitla
153,13319,Ciudad de México,Tláhuac,Ciudad de México,La Estación
154,13360,Ciudad de México,Tláhuac,Ciudad de México,La Conchita Zapotitlán
155,13360,Ciudad de México,Tláhuac,Ciudad de México,Santa Ana Sur
156,13360,Ciudad de México,Tláhuac,Ciudad de México,Santiago Sur
157,13400,Ciudad de México,Tláhuac,Ciudad de México,San Francisco Tlaltenco
158,13410,Ciudad de México,Tláhuac,Ciudad de México,López Portillo
159,13419,Ciudad de México,Tláhuac,Ciudad de México,Ampliación José López Portillo
160,13420,Ciudad de México,Tláhuac,Ciudad de México,Selene
161,13430,Ciudad de México,Tláhuac,Ciudad de México,Ampliación Selene
162,13440,Ciudad de México,Tláhuac,Ciudad de México,Zacatenco
163,13450,Ciudad de México,Tláhuac,Ciudad de México,Guadalupe Tlaltenco
164,13450,Ciudad de México,Tláhuac,Ciudad de México,Ojo de Agua
165,13460,Ciudad de México,Tláhuac,Ciudad de México,El Triángulo
166,13508,Ciudad de México,Tláhuac,Ciudad de México,San Agustín
167,13508,Ciudad de México,Tláhuac,Ciudad de México,La Soledad
168,13509,Ciudad de México,Tláhuac,Ciudad de México,La Concepción
169,14427,Ciudad de México,Tlalpan,Ciudad de México,Tepeximilpa la Paz
170,14429,Ciudad de México,Tlalpan,Ciudad de México,Santísima Trinidad
171,14430,Ciudad de México,Tlalpan,Ciudad de México,El Truenito
