,store_name,street_address,state_name,country_name,postcode,longitude,latitude,id
9291,Campos Eliseos,"Galileo no. 8 local 3 esq. Campos Eliseo, Miguel Hidalgo",DIF,MX,11590,-99.19,19.43,107
9292,Santa Fe,"Guillermo Gonzalez Camarena No. 2000, esq. Vasco de Quirogam Centro de Cd.",DIF,MX,1210,-99.28,19.36,108
9293,Salon Ejecutivo Mexicana T1,"Aeropuerto Intenacional de la Cd. Mex, Aeropuerto Intenacional de la Cd. Mex",DIF,MX,,-99.05,19.45,109
9294,Torre Diamante,"Av. Vasco de Quiroga No. 3900, Col. Santa Fe Cuajimalpa, Del Cuajimalpa",DIF,MX,5348,-99.28,19.36,110
9295,Jesus del Monte,Fraccion 7 y 8 del Lote 20,DIF,MX,52772,-99.3,19.38,111
9296,Palmas,Av. de Las Palmas 765,DIF,MX,,-99.22,19.43,112
9297,Patio Santa Fe,"Prolongacion Paseo de la Reforma 400, Pena Blanca Santa Fe, Alvaro Obregon",DIF,MX,1210,-99.26,19.38,113
9298,Zentralia Churubusco,"Avenida Rio Churubusco 1072, Colonia Nueva Rosita, Local No. 1, 2 y 3",DIF,MX,9420,-99.1,19.38,114
9299,MEX - Aeropuerto Nacional Sala B,"Av. Capitan Carlos Leon s/n, Sala B, Loc",DIF,MX,,-99.08,19.42,115
9300,Reforma Rio Marne,"Av. Passeo de La Reforma #195, Local 1, esq. Rio Marne",DIF,MX,6600,-99.16,19.43,116
9301,SPA,"Av. Santa Fe No. 495 PB Local 2, Col. Cruz Manca",DIF,MX,5349,-99.26,19.37,117
9302,Plaza Santa Teresa,"Adolfo Lopez Mateos 4020, Col. Jardines del Pedregal",DIF,MX,1900,-99.21,19.31,118
9303,Madero,"Madero #42 Col. Centro, Centro Historico district",DIF,MX,6000,-99.14,19.43,119
9304,222 Reforma,222 Avenue Reforma,DIF,MX,6600,-99.16,19.43,120
9305,SPA,"Av. Vasco de Quiroga #3800, Local 1,000, Santa Fe, Deleg. Cuajimalpa",DIF,MX,5109,-99.28,19.36,121
9306,Obelisco,247 Campo Eliseos,DIF,MX,11570,-99.2,19.43,122
9307,Carso Polanco I,"Lago Zurich s/n esq. Cervantes Saaverda, Col Ampliacion Granada Delegacion Miguel",DIF,MX,11529,-99.2,19.44,123
9308,Altavista-Mexico,Av. Altavista # 147 Local 1,DIF,MX,1060,-99.2,19.35,124
